season,league,total_goals
2019/2020,Premier Division,480
2000/2001,Liga I,807
2010/2011,Liga I,584
2004/2005,Liga I,711
2006/2007,English Football League Two,1372
2022/2023,Ligue 1,1067
2018/2019,Serie A,2521
2016/2017,Scottish Championship,469
2009/2010,Serie B,1146
2005/2006,English Premier league,944
2009/2010,Liga I,601
2014/2015,Super League,2504
2001/2002,English Football League Two,1397
2019/2020,Bundesliga 1,982
2023/2024,Bundesliga,696
2013/2014,Premier League,1250
2020/2021,Eliteserien,1724
2015/2016,Premier Division,1044
2000/2001,English Football League Two,1397
2009/2010,Bundesliga 1,866
2010/2011,National league,1549
2006/2007,Bundesliga 2,804
2006/2007,English Football League One,1386
2018/2019,Bundesliga 2,904
2017/2018,Ligi 1,906
2010/2011,Serie B,1077
2019/2020,Jupiler League,655
2019/2020,Liga Profesional,1262
2022/2023,Veikkausliiga,952
2018/2019,Superliga,1394
2020/2021,English Championship,1487
2018/2019,Jupiler League,696
2021/2022,Copa de la Liga Profesional,1050
2015/2016,Jupiler League,694
2010/2011,Ligi 1,838
2011/2012,J1 League,766
2018/2019,Eliteserien,1274
2023/2024,English Football League Two,1364
2023/2024,National league,1423
2014/2015,National league,1486
2020/2021,La Liga SmartBank,1101
2013/2014,National league,1491
2016/2017,English Football League One,1417
2018/2019,KPN Eredivisie,1061
2016/2017,Premier Division,1256
2016/2017,La Liga SmartBank,1041
2018/2019,Veikkausliiga,834
2009/2010,English Football League One,1459
2019/2020,English Football League Two,1108
2022/2023,English Premier league,1084
2008/2009,Scottish League one,491
2020/2021,Liga 1,1656
2001/2002,Bundesliga 2,962
2023/2024,Liga MX,1590
2013/2014,Scottish League two,544
2015/2016,Scottish Premiership,650
2021/2022,English Football League One,1489
2019/2020,Scottish Premiership,490
2017/2018,Scottish Championship,482
2000/2001,Serie A,845
2008/2009,Liga I,552
2021/2022,Bundesliga 2,892
2019/2020,La Liga SmartBank,902
2004/2005,Ligue 2,848
2018/2019,English Premier league,1072
2015/2016,Ligue 1,960
2018/2019,Scottish League two,498
2003/2004,La Liga Santandar,1015
2002/2003,English Premier league,1000
2010/2011,Bundesliga 2,835
2011/2012,Ligue 2,872
2002/2003,KPN Eredivisie,391
2019/2020,Premier League,944
